generation,currentPopulationBestCost,currentPopulationBestVehicleCount,currentPopulationAverageCost,BSFcost,BSFvehicleCount
346,3569.0,5,3731.28,3569.0,5
347,3569.0,5,3730.24,3569.0,5
348,3569.0,5,3729.55,3569.0,5
349,3569.0,5,3725.44,3569.0,5
350,3569.0,5,3722.81,3569.0,5
351,3569.0,5,3719.93,3569.0,5
352,3569.0,5,3718.83,3569.0,5
353,3569.0,5,3717.63,3569.0,5
354,3569.0,5,3715.43,3569.0,5
355,3569.0,5,3714.61,3569.0,5
356,3569.0,5,3712.85,3569.0,5
357,3569.0,5,3712.81,3569.0,5
358,3569.0,5,3711.54,3569.0,5
359,3569.0,5,3711.37,3569.0,5
360,3569.0,5,3709.31,3569.0,5
361,3569.0,5,3707.01,3569.0,5
362,3569.0,5,3704.69,3569.0,5
363,3569.0,5,3702.82,3569.0,5
364,3569.0,5,3701.91,3569.0,5
365,3569.0,5,3699.52,3569.0,5
366,3569.0,5,3699.29,3569.0,5
367,3569.0,5,3697.96,3569.0,5
368,3569.0,5,3696.47,3569.0,5
369,3569.0,5,3696.43,3569.0,5
370,3569.0,5,3694.22,3569.0,5
371,3569.0,5,3693.58,3569.0,5
372,3569.0,5,3692.06,3569.0,5
373,3569.0,5,3690.81,3569.0,5
374,3569.0,5,3689.78,3569.0,5
375,3569.0,5,3686.27,3569.0,5
376,3569.0,5,3686.15,3569.0,5
377,3569.0,5,3686.15,3569.0,5
378,3569.0,5,3684.32,3569.0,5
379,3569.0,5,3684.32,3569.0,5
380,3569.0,5,3684.32,3569.0,5
381,3569.0,5,3683.96,3569.0,5
382,3569.0,5,3683.96,3569.0,5
383,3569.0,5,3683.08,3569.0,5
384,3569.0,5,3682.76,3569.0,5
385,3569.0,5,3682.42,3569.0,5
386,3569.0,5,3681.92,3569.0,5
387,3569.0,5,3681.74,3569.0,5
388,3569.0,5,3681.47,3569.0,5
389,3569.0,5,3680.67,3569.0,5
390,3569.0,5,3680.52,3569.0,5
391,3569.0,5,3679.73,3569.0,5
392,3569.0,5,3679.6,3569.0,5
393,3569.0,5,3679.34,3569.0,5
394,3569.0,5,3678.19,3569.0,5
395,3569.0,5,3678.19,3569.0,5
396,3569.0,5,3676.88,3569.0,5
397,3569.0,5,3676.88,3569.0,5
398,3569.0,5,3675.94,3569.0,5
399,3569.0,5,3675.94,3569.0,5
400,3569.0,5,3675.64,3569.0,5
401,3845.0,5,4527.61,3569.0,5
